pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
elsonfr01,"$1,146,337","$1,700,000",,"$305,792",,,"$3,000,000","$1,700,000","$719,373","$3,000,000","$620,046"
zellelu01,,,"$473,604",,,,,,,,
lillada01,,,"$3,065,040",,"$3,340,920","$3,202,920",,,,,
watsoea01,"$1,229,255","$2,800,000","$2,000,000","$2,000,000",,"$1,399,507","$5,800,000","$6,200,000","$5,000,000","$5,400,000","$1,458,000"
gainere01,,,,,,,,,"$1,556,160",,"$1,454,640"
wrighju01,"$2,858,057","$2,000,040",,,,,"$1,739,160","$1,869,600",,,
warriha01,"$4,250,000","$3,000,000","$4,000,000","$4,000,000",,,"$1,376,040","$2,119,102","$1,196,520","$1,286,280",
anderky01,,,,,"$1,093,680",,,,,,
leslitr01,,,"$250,000","$473,604",,,,,,,
kukocto01,,,,,,,,,"$2,000,000",,"$3,000,000"
aminual01,"$2,563,320",,"$2,947,800","$2,755,560","$981,084","$3,700,000",,,,,
carnero01,"$274,756","$855,189",,,,,"$1,547,760","$1,655,760",,"$1,439,760",
nunnaja01,,,,,,,,,,,
weartr01,,,,,"$507,336",,,,,,
grantje01,,,,,"$884,879",,,,,,
webbech01,,,,,,,"$602,173",,"$19,125,000","$661,024","$17,531,250"
doleami01,,,,,,,"$3,120,000",,"$2,640,000","$2,880,000","$2,400,000"
grayaa01,"$1,028,840","$1,000,497","$2,575,000","$2,500,000","$1,227,985","$2,690,875","$427,163","$711,517",,,
hartja01,,"$69,518",,,,,"$2,300,000","$2,484,000","$1,540,000","$242,640","$1,400,000"
chalmli01,,,,,,,,,"$682,050",,"$450,000"
millebr01,"$4,400,000","$12,250,000","$848,000","$4,752,000",,,"$10,500,000","$11,375,000","$8,750,000","$9,625,000","$7,875,000"
ridnolu01,"$4,000,000","$6,500,000","$4,000,000","$3,680,000","$2,750,000","$4,320,000","$6,500,000","$6,500,000","$1,638,000","$2,425,878","$1,531,200"
paulch01,"$14,940,153","$13,520,500","$17,779,458","$16,359,805","$20,068,563","$18,668,431","$3,615,960","$4,574,189","$3,144,240","$3,380,160",
batises01,,,,,,,,,"$398,762","$664,209",
freijma01,,,,,,,,,,"$145,961","$28,191"
chrisdi01,,,,,,,,,,,
obertfa01,"$992,680","$1,800,000",,,,,"$3,600,000","$3,600,000","$2,325,000","$2,500,000",
maynoer01,"$1,417,800","$1,318,920","$2,338,721","$1,516,680","$2,106,720","$2,016,000",,,,,
jenkiho01,,,,,,,,,,,"$385,277"
waynsma01,,,"$217,301",,,,,,,,
outlatr01,"$7,000,000","$4,000,000","$1,000,000","$3,000,000","$3,000,000","$3,000,000","$4,000,000","$4,000,000","$1,082,160","$1,836,426","$1,011,600"
welscji01,,,,,,,,,"$2,177,114",,"$1,419,240"
vanhoke01,,,,,,,"$4,300,000",,"$15,694,250",,"$14,487,000"
paynead01,,,,,"$1,855,320",,,,,,
jasiksa01,,,,,,,,,"$4,000,000","$4,000,000",
favervi01,,,,,"$2,090,000",,,,,,
fazekni01,,,,,,,"$427,163",,,,
henryxa01,"$2,020,200",,"$2,323,200","$2,171,640","$1,082,000",,,,,,
whiteja01,,,,,,,,,,,"$6,166,466"
horryro01,,,,,,,"$3,630,000",,"$3,000,000","$3,315,000","$1,100,000"
weaveky01,,"$870,968",,,,,,"$806,452",,,
grundan01,,,,,,,,,,,
gardnth01,,,,,,,"$101,451","$711,517",,,
vromaja01,,,,,,,,,"$682,051",,"$385,277"
almonmo01,,,,,,,"$1,005,960","$1,081,440",,,
randlju01,,,,,"$2,997,360",,,,,,
matthwe02,"$5,765,000","$457,588","$6,505,320","$6,135,160","$7,245,640","$6,875,480",,,,,
martida01,,,,,,,"$1,219,590",,"$946,646","$1,178,348",
anderry01,"$1,409,040","$1,317,120","$8,700,000","$2,244,601","$8,491,500","$8,308,500",,"$1,225,200",,,
simsco01,,,,,,,"$112,130","$184,648",,,
murraro01,,"$1,990,000",,,,,"$1,890,000","$1,500,000","$895,248","$1,750,000","$695,046"
reidry01,,,,"$475,000",,,,,,,
kennedj01,,,,,,,,,,,
boykiea01,"$1,352,181","$1,191,180",,,,,"$533,572",,"$2,750,000","$2,950,000","$2,500,000"
salmojo01,"$8,000,000","$5,456,000","$8,083,000","$8,500,000","$1,000,000","$7,583,000","$4,752,000","$5,104,000","$1,669,001","$4,400,000","$925,680"
buckngr01,,"$1,000,000",,,,,"$2,080,000","$4,010,005","$1,670,000","$1,941,333","$870,046"
burketr01,,,,,"$2,548,560","$2,438,760",,,,,
mccoyje01,,,,,,,"$151,089",,,,"$167,418"
knighbr01,,,,,,,"$1,600,000","$2,000,000","$4,600,000","$4,400,000","$932,546"
knighbr02,,,,,,,,,,,
knighbr03,,,"$2,755,560","$2,563,320","$3,553,917","$2,793,960",,,,,
johnsjo02,"$16,324,500","$14,976,754","$19,752,645","$18,038,573","$23,180,790","$21,466,718","$13,488,377","$14,232,567","$12,000,000","$12,744,189","$2,358,954"
sacrero01,,,"$473,604",,"$915,243","$788,872",,,,,
goberru01,,,,,"$1,127,400","$1,078,800",,,,,
divacvl01,,,,,,,,,"$2,000,000",,"$4,903,000"
mcgarmi01,,,,,"$1,400,040",,,,,,
sundobr01,,,,,,,,,,,"$870,046"
teletmi01,,,"$3,090,000",,"$3,368,100","$3,229,050",,,,,
karasse01,,,,,"$1,533,840","$1,467,840",,,,,
hilljo01,"$2,669,520","$2,483,280","$3,632,527","$2,855,760","$9,000,000","$3,563,600",,,,,
joneske01,,,"$390,027",,,,,,,,
byarsde01,,,,,,,,,,,
lowryky01,"$5,750,000","$2,034,997","$5,750,000","$5,750,000","$12,000,000","$6,210,000","$1,087,680","$1,163,520",,"$1,011,720",
whiteja02,,,"$854,389",,,,,,,"$405,435",
willide01,"$14,940,152","$12,323,900","$17,177,795","$16,359,805","$19,754,465","$18,466,130","$4,010,640","$5,069,449","$3,487,400","$3,749,040",
